fatalities,weekdaty,time_period
33,"Friday",10/01/2023 00:00:00
20,"Friday",10/01/2023 01:00:00
17,"Friday",10/01/2023 02:00:00
18,"Friday",10/01/2023 03:00:00
15,"Friday",10/01/2023 04:00:00
29,"Friday",10/01/2023 05:00:00
41,"Friday",10/01/2023 06:00:00
32,"Friday",10/01/2023 07:00:00
31,"Friday",10/01/2023 08:00:00
34,"Friday",10/01/2023 09:00:00
35,"Friday",10/01/2023 10:00:00
47,"Friday",10/01/2023 11:00:00
51,"Friday",10/01/2023 12:00:00
51,"Friday",10/01/2023 13:00:00
69,"Friday",10/01/2023 14:00:00
83,"Friday",10/01/2023 15:00:00
58,"Friday",10/01/2023 16:00:00
57,"Friday",10/01/2023 17:00:00
56,"Friday",10/01/2023 18:00:00
60,"Friday",10/01/2023 19:00:00
44,"Friday",10/01/2023 20:00:00
56,"Friday",10/01/2023 21:00:00
38,"Friday",10/01/2023 22:00:00
53,"Friday",10/01/2023 23:00:00
13,"Monday",10/01/2023 00:00:00
14,"Monday",10/01/2023 01:00:00
11,"Monday",10/01/2023 02:00:00
13,"Monday",10/01/2023 03:00:00
12,"Monday",10/01/2023 04:00:00
25,"Monday",10/01/2023 05:00:00
39,"Monday",10/01/2023 06:00:00
24,"Monday",10/01/2023 07:00:00
36,"Monday",10/01/2023 08:00:00
39,"Monday",10/01/2023 09:00:00
51,"Monday",10/01/2023 10:00:00
52,"Monday",10/01/2023 11:00:00
48,"Monday",10/01/2023 12:00:00
38,"Monday",10/01/2023 13:00:00
49,"Monday",10/01/2023 14:00:00
43,"Monday",10/01/2023 15:00:00
50,"Monday",10/01/2023 16:00:00
35,"Monday",10/01/2023 17:00:00
44,"Monday",10/01/2023 18:00:00
36,"Monday",10/01/2023 19:00:00
34,"Monday",10/01/2023 20:00:00
13,"Monday",10/01/2023 21:00:00
33,"Monday",10/01/2023 22:00:00
15,"Monday",10/01/2023 23:00:00
33,"Saturday",10/01/2023 00:00:00
52,"Saturday",10/01/2023 01:00:00
41,"Saturday",10/01/2023 02:00:00
25,"Saturday",10/01/2023 03:00:00
30,"Saturday",10/01/2023 04:00:00
23,"Saturday",10/01/2023 05:00:00
35,"Saturday",10/01/2023 06:00:00
32,"Saturday",10/01/2023 07:00:00
38,"Saturday",10/01/2023 08:00:00
45,"Saturday",10/01/2023 09:00:00
52,"Saturday",10/01/2023 10:00:00
48,"Saturday",10/01/2023 11:00:00
66,"Saturday",10/01/2023 12:00:00
62,"Saturday",10/01/2023 13:00:00
62,"Saturday",10/01/2023 14:00:00
62,"Saturday",10/01/2023 15:00:00
51,"Saturday",10/01/2023 16:00:00
54,"Saturday",10/01/2023 17:00:00
45,"Saturday",10/01/2023 18:00:00
64,"Saturday",10/01/2023 19:00:00
45,"Saturday",10/01/2023 20:00:00
52,"Saturday",10/01/2023 21:00:00
45,"Saturday",10/01/2023 22:00:00
43,"Saturday",10/01/2023 23:00:00
34,"Sunday",10/01/2023 00:00:00
37,"Sunday",10/01/2023 01:00:00
33,"Sunday",10/01/2023 02:00:00
34,"Sunday",10/01/2023 03:00:00
30,"Sunday",10/01/2023 04:00:00
19,"Sunday",10/01/2023 05:00:00
37,"Sunday",10/01/2023 06:00:00
30,"Sunday",10/01/2023 07:00:00
35,"Sunday",10/01/2023 08:00:00
33,"Sunday",10/01/2023 09:00:00
53,"Sunday",10/01/2023 10:00:00
70,"Sunday",10/01/2023 11:00:00
60,"Sunday",10/01/2023 12:00:00
59,"Sunday",10/01/2023 13:00:00
49,"Sunday",10/01/2023 14:00:00
65,"Sunday",10/01/2023 15:00:00
64,"Sunday",10/01/2023 16:00:00
42,"Sunday",10/01/2023 17:00:00
55,"Sunday",10/01/2023 18:00:00
56,"Sunday",10/01/2023 19:00:00
38,"Sunday",10/01/2023 20:00:00
20,"Sunday",10/01/2023 21:00:00
29,"Sunday",10/01/2023 22:00:00
43,"Sunday",10/01/2023 23:00:00
19,"Thursday",10/01/2023 00:00:00
13,"Thursday",10/01/2023 01:00:00
22,"Thursday",10/01/2023 02:00:00
12,"Thursday",10/01/2023 03:00:00
10,"Thursday",10/01/2023 04:00:00
24,"Thursday",10/01/2023 05:00:00
31,"Thursday",10/01/2023 06:00:00
32,"Thursday",10/01/2023 07:00:00
32,"Thursday",10/01/2023 08:00:00
41,"Thursday",10/01/2023 09:00:00
46,"Thursday",10/01/2023 10:00:00
43,"Thursday",10/01/2023 11:00:00
52,"Thursday",10/01/2023 12:00:00
50,"Thursday",10/01/2023 13:00:00
47,"Thursday",10/01/2023 14:00:00
56,"Thursday",10/01/2023 15:00:00
61,"Thursday",10/01/2023 16:00:00
62,"Thursday",10/01/2023 17:00:00
41,"Thursday",10/01/2023 18:00:00
43,"Thursday",10/01/2023 19:00:00
31,"Thursday",10/01/2023 20:00:00
46,"Thursday",10/01/2023 21:00:00
42,"Thursday",10/01/2023 22:00:00
25,"Thursday",10/01/2023 23:00:00
12,"Tuesday",10/01/2023 00:00:00
9,"Tuesday",10/01/2023 01:00:00
19,"Tuesday",10/01/2023 02:00:00
10,"Tuesday",10/01/2023 03:00:00
25,"Tuesday",10/01/2023 04:00:00
20,"Tuesday",10/01/2023 05:00:00
39,"Tuesday",10/01/2023 06:00:00
51,"Tuesday",10/01/2023 07:00:00
33,"Tuesday",10/01/2023 08:00:00
36,"Tuesday",10/01/2023 09:00:00
51,"Tuesday",10/01/2023 10:00:00
38,"Tuesday",10/01/2023 11:00:00
51,"Tuesday",10/01/2023 12:00:00
37,"Tuesday",10/01/2023 13:00:00
35,"Tuesday",10/01/2023 14:00:00
53,"Tuesday",10/01/2023 15:00:00
51,"Tuesday",10/01/2023 16:00:00
57,"Tuesday",10/01/2023 17:00:00
39,"Tuesday",10/01/2023 18:00:00
37,"Tuesday",10/01/2023 19:00:00
26,"Tuesday",10/01/2023 20:00:00
33,"Tuesday",10/01/2023 21:00:00
28,"Tuesday",10/01/2023 22:00:00
21,"Tuesday",10/01/2023 23:00:00
25,"Wednesday",10/01/2023 00:00:00
14,"Wednesday",10/01/2023 01:00:00
6,"Wednesday",10/01/2023 02:00:00
13,"Wednesday",10/01/2023 03:00:00
12,"Wednesday",10/01/2023 04:00:00
31,"Wednesday",10/01/2023 05:00:00
43,"Wednesday",10/01/2023 06:00:00
23,"Wednesday",10/01/2023 07:00:00
25,"Wednesday",10/01/2023 08:00:00
37,"Wednesday",10/01/2023 09:00:00
40,"Wednesday",10/01/2023 10:00:00
47,"Wednesday",10/01/2023 11:00:00
45,"Wednesday",10/01/2023 12:00:00
50,"Wednesday",10/01/2023 13:00:00
66,"Wednesday",10/01/2023 14:00:00
58,"Wednesday",10/01/2023 15:00:00
57,"Wednesday",10/01/2023 16:00:00
44,"Wednesday",10/01/2023 17:00:00
52,"Wednesday",10/01/2023 18:00:00
32,"Wednesday",10/01/2023 19:00:00
28,"Wednesday",10/01/2023 20:00:00
30,"Wednesday",10/01/2023 21:00:00
26,"Wednesday",10/01/2023 22:00:00
36,"Wednesday",10/01/2023 23:00:00
